Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Year,Explicit Content,Danceability,Energy,Loudness,Speechiness,Genre
2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",Drake,Nothing Was The Same,227880,77,2013,0,0.777,0.414,-7.44,0.0946,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
1j8z4TTjJ1YOdoFEDwJTQa,Ain't It Fun,Paramore,Paramore,296520,76,2013,0,0.61,0.893,-3.681,0.0921,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
6F5c58TMEs1byxUstkzVeM,Roar,Katy Perry,PRISM (Deluxe),223546,75,2013,0,0.554,0.772,-4.821,0.0418,pop
789CxjEOtO76BVD1A9yJQH,Stay,Rihanna,Unapologetic (Edited Version),240706,76,2012,0,0.621,0.31,-10.164,0.0283,"barbadian pop, pop, urban contemporary"
1EAgPzRbK9YmdOESSMUm6P,Home,Phillip Phillips,The World From The Side Of The Moon,210173,74,2012,0,0.606,0.826,-6.04,0.0307,"folk-pop, neo mellow, pop rock"
6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX),Icona Pop,THIS IS... ICONA POP,157152,75,2013,1,0.711,0.906,-2.671,0.0284,"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop"
5GjnIpUlLGEIYk052ISOw9,This Is What It Feels Like,Armin van Buuren,Intense,204360,75,2013,0,0.551,0.833,-5.217,0.03,"dutch trance, edm, pop dance, progressive house, trance"
05SBRd4fXgn8FX7bf8BCAE,I Need Your Love (feat. Ellie Goulding),Calvin Harris,18 Months,234506,76,2012,0,0.695,0.869,-5.066,0.0483,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance"
5xvUgoVED1F4mBu8FL0HaW,Ready or Not,Bridgit Mendler,Hello My Name Is...,200946,74,2012,0,0.715,0.872,-3.835,0.0509,"pop, post-teen pop"
6LoQHIo74tOzQ8EsLEkhgF,Come & Get It,Selena Gomez,Stars Dance (Bonus Track Version),231986,74,2013,0,0.546,0.787,-4.1,0.0517,"pop, post-teen pop"
1DunhgeZSEgWiIYbHqXl0c,Latch,Disclosure,Settle (Deluxe),255866,74,2013,0,0.729,0.735,-5.455,0.0919,"edm, house, indietronica, uk dance"
